#RTABLES

Gem - Low Value~
0
1 1 1509949445 0
983 16 1509949450 -2
1039 16 1509949450 -2
1066 16 1509949450 -2
1293 16 1509949450 -2
-1

Gem - Medium Value~
1
0 1 1509949490 0
2 0 1509949445 0
1067 16 1509949445 -2
1068 16 1509949445 -2
-1

Gem - High Value~
2
0 1 1509949480 0
1 0 1509949460 0
105 16 1509949445 -2
2155 16 1509949445 -2
633 16 1509949445 -2
7037 16 1509949445 -1
7337 16 1509949445 -1
-1

Phial~
3
686 17 1509949444 -2
876 16 1509949443 -2
877 16 1509949442 -2
878 16 1509949443 -2
893 16 1509949445 -2
901 16 1509949445 -2
902 16 1509949444 -2
909 16 1509949444 -2
910 16 1509949444 -2
911 16 1509949448 -2
929 16 1509949442 -2
938 16 1509949444 -2
939 16 1509949444 -2
940 16 1509949442 -2
941 16 1509949444 -2
951 16 1509949444 -2
953 16 1509949444 -2
954 16 1509949444 -2
956 16 1509949445 -2
967 16 1509949441 -2
1045 16 1509949444 -2
1075 16 1509949444 -2
1106 16 1509949444 -2
389 16 1509949445 -2
-1

Phial - Purple Trog Mix~
4
686 17 1509949460 -2
901 16 1509949460 -2
876 16 1509949460 -2
893 16 1509949460 -2
902 18 1509962260 -2
909 16 1509962240 -2
-1

Scroll~
5
1000 17 1509949450 -2
196 16 1509949450 -2
871 16 1509949450 -2
1001 16 1509949450 -2
-1

Minor Ring~
6
32 17 1509949457 -2
190 16 1509949462 -2
666 16 1509949445 -2
1027 16 1509949442 -2
1219 16 1509949457 -2
1314 16 1509949450 -2
1569 16 1509949455 -2
986 16 1509949445 -2
7439 16 1509949442 -1
-1

Incense~
7
416 17 1509949465 -2
1047 16 1509949470 -2
1054 16 1509949465 -2
1065 16 1509949460 -2
-1

Ingot~
8
638 17 1509949490 -2
639 16 1509949470 -2
640 16 1509949458 -2
641 16 1509949442 -2
-1

Cleric Body Armor~
9
2003 17 838860805 -2
606 16 838860804 -2
3507 16 838860803 -2
2006 16 838860802 -2
423 16 838860801 -2
-1

Newbie Chestwear~
10
644 17 1509949452 -2
985 16 1509949455 -2
1565 16 1509949450 -2
2000 16 1509949450 -2
2001 16 1509949463 -2
2002 16 1509949460 -2
2003 16 838860810 -2
-1

Leather Legwear~
11
646 17 1509949452 -2
2021 16 1509949470 -2
2022 16 1509949460 -2
1077 16 838860815 -2
2020 16 1509949449 -2
156 16 1509949453 -2
-1

Cleric Arm Armor~
12
186 17 838860803 -2
610 16 838860804 -2
3508 16 838860803 -2
2044 16 838860802 -2
-1

Cleric Leg Armor~
13
1077 17 838860803 -2
614 16 838860804 -2
3543 16 838860803 -2
2024 16 838860803 -2
-1

Small Custom Bits - Good~
14
621 17 1509949470 -2
994 16 1509949470 -2
15 0 1509949450 0
-1

Small Custom Bits - Evil~
15
803 17 1509949470 -2
994 16 1509949470 -2
14 0 1509949450 0
-1

Low Level Weapons~
16
3660 17 1509949450 -1
3651 17 10 -1
3649 17 10 -1
-1

TFH: Mob Body Armor (Leather)~
17
7852 17 1660944389 -1
1565 16 1509949445 -1
7851 16 1509949455 -1
985 16 1509949460 -1
7850 16 1509949465 -1
3409 16 1509949460 -1
2000 16 1509949450 -1
-1

TFH: Mob Arm Armor (Leather)~
18
186 17 1660944389 -1
252 16 1509949445 -1
2042 16 1509949460 -1
2041 16 1509949490 -1
2040 16 1509949460 -1
-1

TFH: Mob Leg Armor (Leather)~
19
1077 17 1660944389 -1
7481 16 1509949445 -1
2022 16 1509949465 -1
2021 16 1509949490 -1
2020 16 1509949455 -1
-1

TFH: Mob Body Armor (Leath...~
20
7232 17 1509949441 -1
7321 16 1509949442 -1
7229 16 1509949442 -1
7225 16 1509949443 -1
7853 16 1509949443 -1
7320 16 1509949444 -1
7852 16 1660944389 -1
1565 16 1509949445 -1
7851 16 1509949455 -1
985 16 1509949455 -1
7850 16 1509949460 -1
3409 16 1509949465 -1
-1

TFH: Mob Arm Armor (Leather/Metal)~
21
7233 17 1509949441 -1
7325 16 1509949442 -1
7230 16 1509949442 -1
7324 16 1509949443 -1
7862 16 1509949443 -1
7323 16 1509949444 -1
186 16 1660944389 -1
252 16 1509949445 -1
2042 16 1509949465 -1
2041 16 1509949490 -1
-1

TFH: Mob Leg Armor (Leather/Metal)~
22
7234 17 1509949441 -1
7328 16 1509949442 -1
7231 16 1509949442 -1
7327 16 1509949443 -1
7860 16 1509949443 -1
7326 16 1509949444 -1
1077 16 1660944389 -1
7481 16 1509949445 -1
2022 16 1509949465 -1
2021 16 1509949490 -1
-1

TFH: altienin tunics~
23
7769 19 1509953104 -1
7768 16 1509953024 -1
7770 16 1509953280 -1
7771 16 1509953024 -1
7772 16 1509953024 -1
7773 16 1509953024 -1
7774 16 1509953280 -1
7588 18 1509952276 -1
7605 16 1509952512 -1
7615 16 1509952256 -1
7616 16 1509952256 -1
7617 16 1509952256 -1
7626 16 1509952256 -1
7627 16 1509952256 -1
7644 16 1509952256 -1
7664 16 1509952256 -1
-1

TFH: altienin dresses~
24
7792 19 1509954640 -1
7793 16 1509954560 -1
7794 16 1509954560 -1
7795 16 1509954560 -1
7796 16 1509954560 -1
7750 18 1509952788 -1
7751 16 1509952256 -1
7753 16 1509952768 -1
7754 16 1509952768 -1
7755 16 1509952768 -1
7757 16 1509952512 -1
7758 16 1509952768 -1
-1

TFH: altienin robes~
25
7775 17 1509949455 -1
7776 16 1509949454 -1
7778 16 1509949455 -1
7779 16 1509949454 -1
7780 16 1509949454 -1
7781 16 1509949454 -1
7805 16 1509949454 -1
-1

TFH: altienin boots~
26
7802 17 1509949457 -1
7822 16 1509949456 -1
7823 16 1509949457 -1
7824 16 1509949457 -1
7825 16 1509949456 -1
7826 16 1509949457 -1
-1

TFH: altienin slippers~
27
7827 17 1509949457 -1
7829 16 1509949454 -1
7830 16 1509949457 -1
7831 16 1509949457 -1
7832 16 1509949457 -1
7833 16 1509949457 -1
-1

TFH: altienin pants~
28
7764 17 1509953842 -1
7782 16 1509953536 -1
7783 16 1509953792 -1
7784 16 1509953536 -1
7785 16 1509953792 -1
7786 16 1509953792 -1
7787 18 1509954610 -1
7788 16 1509954560 -1
7789 16 1509954560 -1
7790 16 1509954560 -1
7791 16 1509954560 -1
-1

TFH: Common Herbs~
29
415 17 1509949490 -1
7399 16 1509949444 -1
4308 16 1509949445 -1
4309 16 1509949445 -1
4310 16 1509949445 -1
4241 16 1509949445 -1
7403 16 1509949444 -1
7401 16 1509949444 -1
7393 16 1509949444 -1
7405 16 1509949444 -1
7411 16 1509949444 -1
30 0 1509949444 0
-1

TFH: Uncommon Herbs~
30
7395 17 1509949450 -1
7409 16 1509949450 -1
7398 16 1509949450 -1
7404 16 1509949450 -1
7402 16 1509949450 -1
7412 16 1509949450 -1
1678 16 1509949450 -1
7394 16 1509949450 -1
31 0 1509949450 0
29 0 1509949540 0
-1

TFH: Rare Herbs~
31
7392 17 1509949450 -1
7410 16 1509949450 -1
7396 16 1509949450 -1
30 0 1509949540 0
-1

TFH: Level 1 Treasures~
32
33 1 1509949444 0
7372 16 1509949445 -1
1569 16 1509949445 -1
-1

TFH: Level 5 Treasures~
33
32 1 1509949444 0
34 0 1509949444 0
7525 16 1509949443 -1
7518 16 1509949443 -1
3132 16 1509949443 -1
7439 16 1509949443 -1
3618 16 1509949443 -1
-1

TFH: Level 10 Treasures~
34
33 1 1509949440 0
35 0 1509949444 0
1315 16 1509949443 -1
7911 16 1509949443 -1
1884 16 1509949443 -1
-1

TFH: Level 15 Treasures~
35
34 0 1509949444 0
7629 17 1509949540 -1
-1

#~
